                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3499,                 2.0291,                 1.1875,                0.94697,                0.78787,                0.96563,                0.52273,                  1.415,                 2.1746,                  1.226,             0.00065926,             0.00065926,             0.00065926
                      1,                 1.2468,                 1.3567,                 1.1769,                0.98528,                 0.9842,                0.99104,                 0.6548,                 1.2336,                 1.2615,                  1.198,              0.0013128,              0.0013128,              0.0013128
                      2,                 1.1678,                 1.1286,                 1.1684,                      1,                0.99925,                  0.995,                0.59543,                 1.3554,                 1.1822,                 1.3482,              0.0019531,              0.0019531,              0.0019531
                      3,                 1.1657,                0.95377,                 1.1914,                 0.9983,                0.98529,                0.99319,                0.64915,                  1.221,                0.97978,                 1.2002,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.1685,                0.84586,                 1.1653,                0.98003,                0.98529,                 0.9902,                 0.6474,                 1.1876,                0.79745,                 1.1656,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1413,                 0.7965,                 1.1567,                0.99821,                      1,                  0.995,                 0.6583,                 1.1729,                0.75574,                 1.1578,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1286,                0.73735,                 1.1447,                0.98439,                      1,                0.99312,                0.63206,                 1.1729,                0.67849,                 1.1428,               0.001901,               0.001901,               0.001901
                      7,                 1.1052,                0.68794,                 1.1343,                0.99916,                      1,                  0.995,                0.65464,                 1.2187,                0.65833,                 1.1896,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0902,                0.70237,                 1.1263,                0.99854,                      1,                  0.995,                0.67659,                 1.1563,                0.61534,                 1.1782,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0679,                0.65077,                 1.1071,                0.99614,                      1,                  0.995,                0.65421,                 1.1251,                0.62193,                 1.1273,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0665,                 0.6328,                 1.1229,                  0.996,                      1,                  0.995,                0.68565,                 1.1247,                0.61874,                 1.1218,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0682,                0.65411,                 1.1122,                0.99717,                      1,                  0.995,                0.62569,                 1.2515,                0.70581,                 1.1936,               0.001802,               0.001802,               0.001802
                     12,                 1.0767,                0.63325,                 1.1097,                0.99823,                      1,                  0.995,                0.68035,                 1.1159,                0.55943,                 1.1269,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0675,                0.64474,                  1.113,                0.99928,                      1,                  0.995,                0.69438,                 1.1274,                0.60606,                 1.1768,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0387,                0.59828,                  1.097,                0.99651,                      1,                  0.995,                0.61971,                 1.2955,                0.58843,                 1.2562,              0.0017426,              0.0017426,              0.0017426
                     15,                   1.04,                0.59475,                 1.1004,                0.99771,                      1,                  0.995,                0.60601,                 1.3311,                0.61318,                 1.2374,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0524,                 0.5873,                 1.0999,                0.99451,                0.98529,                0.99458,                0.68205,                 1.1184,                0.54326,                 1.1235,               0.001703,               0.001703,               0.001703
                     17,                 1.0264,                0.60198,                 1.0892,                0.99895,                      1,                  0.995,                0.63296,                 1.3137,                0.54011,                 1.2241,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0277,                 0.5724,                 1.0973,                0.99872,                      1,                  0.995,                0.64371,                 1.2562,                0.56014,                 1.1994,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0042,                0.56233,                 1.0909,                0.98328,                      1,                0.99138,                 0.6903,                 1.1388,                0.53638,                 1.1303,              0.0016436,              0.0016436,              0.0016436
                     20,                0.98886,                0.54573,                 1.0723,                0.99866,                      1,                  0.995,                0.70351,                  1.097,                0.50149,                 1.0889,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0029,                0.56441,                 1.0808,                0.99875,                      1,                  0.995,                0.68315,                 1.1427,                0.53023,                 1.1495,               0.001604,               0.001604,               0.001604
                     22,                 1.0015,                0.54398,                 1.0654,                0.99874,                      1,                  0.995,                0.66907,                 1.1334,                0.50497,                  1.121,              0.0015842,              0.0015842,              0.0015842
                     23,                0.97865,                0.51962,                 1.0618,                0.99879,                      1,                  0.995,                0.71106,                 1.0929,                 0.4783,                 1.1133,              0.0015644,              0.0015644,              0.0015644
                     24,                0.97046,                0.53327,                 1.0638,                0.99588,                      1,                  0.995,                0.65362,                 1.2161,                0.52128,                 1.1696,              0.0015446,              0.0015446,              0.0015446
                     25,                0.98077,                0.53616,                 1.0674,                0.99826,                      1,                  0.995,                0.69727,                 1.1061,                0.47919,                  1.097,              0.0015248,              0.0015248,              0.0015248
                     26,                 0.9826,                0.53866,                 1.0652,                0.99833,                      1,                  0.995,                0.63128,                 1.3004,                0.53631,                 1.2138,               0.001505,               0.001505,               0.001505
                     27,                   0.99,                0.52406,                 1.0704,                0.99804,                      1,                  0.995,                0.66359,                 1.1543,                0.48165,                  1.134,              0.0014852,              0.0014852,              0.0014852
                     28,                0.97221,                0.50606,                 1.0666,                0.99788,                      1,                  0.995,                0.69418,                 1.1319,                 0.4727,                 1.1272,              0.0014654,              0.0014654,              0.0014654
                     29,                0.96182,                0.52597,                 1.0595,                 0.9989,                      1,                  0.995,                0.68814,                 1.0922,                0.46326,                 1.1119,              0.0014456,              0.0014456,              0.0014456
                     30,                0.95675,                0.52068,                 1.0447,                0.99998,                0.95588,                0.98249,                0.66834,                 1.1183,                0.54345,                 1.1238,              0.0014258,              0.0014258,              0.0014258
                     31,                0.92896,                 0.4967,                  1.047,                0.99881,                      1,                  0.995,                0.68339,                 1.1515,                0.47045,                 1.1315,               0.001406,               0.001406,               0.001406
                     32,                0.95264,                0.50784,                 1.0467,                0.99772,                      1,                  0.995,                0.69078,                 1.1049,                0.47005,                 1.1114,              0.0013862,              0.0013862,              0.0013862
                     33,                0.95873,                0.51929,                 1.0586,                0.99882,                      1,                  0.995,                0.70273,                   1.08,                0.45403,                 1.0985,              0.0013664,              0.0013664,              0.0013664
                     34,                0.93527,                0.49124,                 1.0441,                0.99752,                      1,                  0.995,                 0.6631,                 1.2077,                0.48527,                 1.1381,              0.0013466,              0.0013466,              0.0013466
                     35,                0.97393,                0.51555,                  1.061,                0.99634,                      1,                  0.995,                0.66385,                 1.1539,                0.46203,                 1.1288,              0.0013268,              0.0013268,              0.0013268
                     36,                0.97204,                0.51183,                 1.0437,                0.99451,                      1,                  0.995,                0.68675,                 1.1443,                0.46927,                 1.1127,               0.001307,               0.001307,               0.001307
                     37,                0.95626,                 0.5086,                 1.0545,                0.99751,                      1,                  0.995,                0.71108,                 1.1115,                0.45486,                 1.1052,              0.0012872,              0.0012872,              0.0012872
                     38,                0.93539,                0.48366,                 1.0368,                 0.9988,                      1,                  0.995,                0.68559,                 1.1252,                0.45073,                 1.1222,              0.0012674,              0.0012674,              0.0012674
                     39,                 0.9148,                0.47544,                 1.0257,                0.99876,                      1,                  0.995,                0.72828,                 1.0819,                0.43813,                 1.0886,              0.0012476,              0.0012476,              0.0012476
                     40,                0.90527,                0.46759,                 1.0234,                0.99874,                      1,                  0.995,                0.69049,                 1.1699,                0.44782,                 1.1348,              0.0012278,              0.0012278,              0.0012278
                     41,                0.93532,                0.47133,                 1.0355,                  0.999,                      1,                  0.995,                0.73157,                 0.9619,                0.43048,                 1.0468,               0.001208,               0.001208,               0.001208
                     42,                0.94393,                0.47634,                 1.0549,                0.99885,                      1,                  0.995,                0.73609,                0.98957,                0.40812,                 1.0491,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.9016,                0.46154,                  1.026,                0.99877,                      1,                  0.995,                0.70108,                 1.0899,                0.46039,                 1.1113,              0.0011684,              0.0011684,              0.0011684
                     44,                0.89866,                0.45573,                 1.0168,                0.99872,                      1,                  0.995,                0.69583,                 1.0933,                0.43418,                 1.0929,              0.0011486,              0.0011486,              0.0011486
                     45,                0.90577,                0.46028,                 1.0308,                0.99861,                      1,                  0.995,                0.73273,                0.98995,                0.41477,                  1.062,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.8956,                 0.4617,                 1.0177,                0.99858,                      1,                  0.995,                0.74165,                0.99659,                0.41001,                 1.0517,               0.001109,               0.001109,               0.001109
                     47,                0.88195,                0.45223,                 1.0252,                0.99765,                      1,                  0.995,                0.70146,                 1.1163,                0.43696,                 1.1217,              0.0010892,              0.0010892,              0.0010892
                     48,                0.91904,                0.46287,                 1.0423,                0.99868,                      1,                  0.995,                 0.7161,                 1.1101,                0.42652,                  1.099,              0.0010694,              0.0010694,              0.0010694
                     49,                0.89036,                0.47769,                 1.0271,                 0.9989,                      1,                  0.995,                0.67975,                 1.1546,                0.43647,                 1.1374,              0.0010496,              0.0010496,              0.0010496
                     50,                0.87714,                0.46069,                 1.0214,                0.99798,                      1,                  0.995,                0.71259,                 1.0741,                0.43772,                 1.0838,              0.0010298,              0.0010298,              0.0010298
                     51,                0.86222,                0.45123,                 1.0026,                      1,                0.99837,                  0.995,                0.71425,                 1.0536,                0.42008,                 1.0775,                0.00101,                0.00101,                0.00101
                     52,                0.87307,                0.44949,                  1.015,                0.99886,                      1,                  0.995,                0.69208,                 1.1734,                0.43337,                 1.1435,              0.0009902,              0.0009902,              0.0009902
